"Name","City","State","Access","Count","Latitude","Longitude","Wall","Proshop","Indoor","Lights","Surface"
"Racquet Club Villas","Los Angeles","CA","Private",1,33.8932708,-118.2206798,"No","No","No","No","Hard"
"Prospect High School","San Francisco - Oakland - San Jose","CA","Public",6,37.2913221,-121.999687,"No","No","No","Yes","Hard"
"Clark Park","Seattle","WA","Public",6,47.9851034,-122.203846,"No","No","No","Yes","Hard"
"Lipman Middle School","San Francisco - Oakland - San Jose","CA","Public",2,37.6857817,-122.4072754,"Yes","No","No","Yes","Hard"
"Howe Park","Sacramento-Yolo","CA","Public",8,38.6043286,-121.41415,"Yes","No","No","Yes","Hard"
"North Tahoe High School","Sacramento-Yolo","CA","Public",4,39.1952869,-120.1216364,"No","No","No","No","Hard"
"Arlington Tennis Center & Pro Shop","Dallas - Fort Worth","TX","Public",20,32.6897193,-97.1122956,"No","Yes","No","Yes","Hard"
"Yale Park","Dallas - Fort Worth","TX","Public",2,32.9663761,-96.6909957,"Yes","No","No","No","Hard"
"Jefferson Place","Dallas - Fort Worth","TX","Private",1,32.8937141,-96.9576287,"No","No","No","No","Hard"
"Campus Commons - The Villages","Sacramento-Yolo","CA","Private",2,38.5646348,-121.4176691,"No","No","No","No","Hard"
"Lakepointe at Jacaranda","Miami-Fort Lauderdale","FL","Private",1,26.1399515,-80.2581096,"No","No","No","Yes","Hard"
"Alden Bridge Park","Houston - Galveston - Brazoria","TX","Public",4,30.2107738,-95.51548,"Yes","No","No","Yes","Hard"
"Meadow Creek","Houston - Galveston - Brazoria","TX","Private",1,29.868359,-95.6418443,"No","No","No","Yes","Hard"
"Gardens East","West Palm Beach - Boca Raton","FL","Private",2,26.8249325,-80.0865448,"No","No","No","Yes","Hard"
"University of South Florida - Varsity Tennis Complex","Tampa-St. Petersburg-Clearwater","FL","Public",12,28.0648327,-82.4061513,"No","No","No","No","Hard"
"Asprey","Tampa-St. Petersburg-Clearwater","FL","Private",1,27.9156527,-82.3244083,"No","No","No","Yes","Hard"
